,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind_Speed
379,sortavala,99,RU,1621115630,85,11.69,61.7053,30.6918,2.43
380,mykolayivka,18,UA,1621115630,82,13.49,47.5414,30.7561,1.38
381,barber,20,CW,1621115631,61,29.0,12.2833,-69.0667,7.2
382,bethel,90,US,1621115631,21,23.0,41.3712,-73.414,3.09
383,tokur,100,RU,1621115631,86,0.61,53.1333,132.9,1.0
384,touros,20,BR,1621115632,83,26.0,-5.1989,-35.4608,2.06
385,bugiri,36,UG,1621115632,91,18.02,0.5714,33.7417,2.16
386,cividale del friuli,100,IT,1621115632,92,14.44,46.0931,13.4275,1.36
387,meulaboh,99,ID,1621115633,89,25.18,4.1363,96.1285,1.94
388,kasane,61,BW,1621115633,46,15.65,-17.8167,25.15,1.26
389,cabedelo,20,BR,1621115633,88,25.0,-6.9811,-34.8339,3.09
390,gao,53,ML,1621115634,25,33.33,16.6362,1.637,3.26
391,sosnovo-ozerskoye,68,RU,1621115634,74,4.15,52.5249,111.5418,6.41
392,luganville,96,VU,1621115634,79,28.03,-15.5333,167.1667,2.67
393,dalvik,90,IS,1621115635,65,3.0,65.9702,-18.5286,5.14
394,jieshi,6,CN,1621115635,86,26.56,22.8134,115.8257,2.2
395,aden,98,YE,1621115613,55,32.53,12.7794,45.0367,0.7
396,chulman,3,RU,1621115636,66,4.93,56.8479,124.9104,0.91
397,tsogni,53,GA,1621115636,89,25.49,-2.7942,10.0988,2.65
398,noumea,75,NC,1621115358,100,25.56,-22.2763,166.4572,1.54
399,pingxiang,100,CN,1621115636,94,23.14,27.6167,113.85,2.6
400,kenai,40,US,1621115637,71,9.0,60.5544,-151.2583,5.14
401,morehead,90,US,1621115637,28,22.0,37.2711,-87.1764,0.58
402,kota belud,20,MY,1621115637,89,26.0,6.351,116.4305,2.06
403,guiratinga,100,BR,1621115638,42,26.25,-16.3494,-53.7583,1.25
404,port blair,92,IN,1621115472,75,28.94,11.6667,92.75,1.28
405,iwanai,100,JP,1621115638,90,11.89,42.9744,140.5089,3.38
406,naze,75,JP,1621115529,100,24.0,28.3667,129.4833,6.69
407,san patricio,90,US,1621115506,78,27.22,28.017,-97.5169,8.75
408,youhao,22,CN,1621115639,61,11.0,47.8667,128.8333,2.85
409,nhulunbuy,53,AU,1621115639,57,25.0,-12.2333,136.7667,4.12
410,sarangani,88,PH,1621115639,76,28.58,5.4033,125.4636,8.75
411,havre-saint-pierre,90,CA,1621115640,50,11.0,50.2334,-63.5986,4.12
412,banda aceh,99,ID,1621115576,80,26.81,5.5577,95.3222,1.56
413,isangel,61,VU,1621115640,76,26.84,-19.55,169.2667,3.41
414,praia da vitoria,20,PT,1621115640,73,22.0,38.7333,-27.0667,4.16
415,payo,40,ID,1621115641,97,22.45,-3.7508,103.6372,1.04
416,kamaishi,100,JP,1621115641,84,15.9,39.2667,141.8833,5.2
417,tikrit,0,IQ,1621115641,12,30.06,34.6071,43.6782,5.48
418,mugur-aksy,9,RU,1621115642,64,4.65,50.35,90.5,2.1
419,vanavara,25,RU,1621115642,75,-2.03,60.34,102.2797,5.33
420,nioki,0,CD,1621115642,76,23.8,-2.7167,17.6833,0.72
421,youghal,75,IE,1621115643,93,10.56,51.95,-7.8506,4.12
422,joao pinheiro,100,BR,1621115643,46,22.67,-17.7425,-46.1725,1.21
423,brae,90,GB,1621115541,100,8.0,60.3964,-1.353,1.54
424,barcelona,20,ES,1621115374,88,19.44,41.3888,2.159,1.54
425,namatanai,17,PG,1621115643,73,28.82,-3.6667,152.4333,4.57
426,northam,14,GB,1621115644,93,10.56,51.0333,-4.2167,3.13
427,oum hadjer,2,TD,1621115644,5,31.58,13.2954,19.6966,4.0
